,zipcode,bd,variable,value,timestamp,month,quarter,year,prev_timestamp,prev_month_rent,inventory,prev_inventory
134,10037,3.0,2018-07,3610.0,2018-07-01,7,3,2018,2018-06-01,3650.0,216.0,199.0
135,10038,0.0,2018-07,3027.0,2018-07-01,7,3,2018,2018-06-01,2920.0,340.0,343.0
136,10038,1.0,2018-07,4050.0,2018-07-01,7,3,2018,2018-06-01,3950.0,243.0,244.0
137,10038,2.0,2018-07,5409.0,2018-07-01,7,3,2018,2018-06-01,5350.0,164.0,155.0
138,10038,3.0,2018-07,6788.0,2018-07-01,7,3,2018,2018-06-01,6750.0,66.0,69.0
139,10039,0.0,2018-07,1775.0,2018-07-01,7,3,2018,2018-06-01,1795.0,114.0,127.0
140,10039,1.0,2018-07,2275.0,2018-07-01,7,3,2018,2018-06-01,2200.0,319.0,346.0
141,10039,2.0,2018-07,2750.0,2018-07-01,7,3,2018,2018-06-01,2795.0,404.0,370.0
142,10039,3.0,2018-07,3610.0,2018-07-01,7,3,2018,2018-06-01,3650.0,216.0,199.0
143,10040,0.0,2018-07,1650.0,2018-07-01,7,3,2018,2018-06-01,1673.0,68.0,70.0
144,10040,1.0,2018-07,1825.0,2018-07-01,7,3,2018,2018-06-01,1850.0,279.0,237.0
145,10040,2.0,2018-07,2295.0,2018-07-01,7,3,2018,2018-06-01,2295.0,307.0,277.0
146,10040,3.0,2018-07,2971.0,2018-07-01,7,3,2018,2018-06-01,2933.0,267.0,227.0
147,10044,1.0,2018-07,3097.0,2018-07-01,7,3,2018,2018-06-01,3000.0,31.0,35.0
148,10044,2.0,2018-07,4569.0,2018-07-01,7,3,2018,2018-06-01,4495.0,25.0,23.0
149,10065,0.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2050.0,802.0,800.0
150,10065,1.0,2018-07,2795.0,2018-07-01,7,3,2018,2018-06-01,2800.0,1354.0,1405.0
151,10065,2.0,2018-07,3497.0,2018-07-01,7,3,2018,2018-06-01,3400.0,946.0,900.0
152,10065,3.0,2018-07,6800.0,2018-07-01,7,3,2018,2018-06-01,7375.0,463.0,444.0
153,10069,0.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2295.0,598.0,583.0
154,10069,1.0,2018-07,3050.0,2018-07-01,7,3,2018,2018-06-01,3100.0,1309.0,1305.0
155,10069,2.0,2018-07,4400.0,2018-07-01,7,3,2018,2018-06-01,4500.0,792.0,763.0
156,10069,3.0,2018-07,6000.0,2018-07-01,7,3,2018,2018-06-01,6963.0,477.0,446.0
157,10075,0.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2050.0,802.0,800.0
158,10075,1.0,2018-07,2795.0,2018-07-01,7,3,2018,2018-06-01,2800.0,1354.0,1405.0
159,10075,2.0,2018-07,3497.0,2018-07-01,7,3,2018,2018-06-01,3400.0,946.0,900.0
160,10075,3.0,2018-07,6800.0,2018-07-01,7,3,2018,2018-06-01,7375.0,463.0,444.0
161,10128,0.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2050.0,802.0,800.0
162,10128,1.0,2018-07,2795.0,2018-07-01,7,3,2018,2018-06-01,2800.0,1354.0,1405.0
163,10128,2.0,2018-07,3497.0,2018-07-01,7,3,2018,2018-06-01,3400.0,946.0,900.0
164,10128,3.0,2018-07,6800.0,2018-07-01,7,3,2018,2018-06-01,7375.0,463.0,444.0
165,10280,0.0,2018-07,3160.0,2018-07-01,7,3,2018,2018-06-01,3090.0,34.0,33.0
166,10280,1.0,2018-07,3943.0,2018-07-01,7,3,2018,2018-06-01,3650.0,96.0,90.0
167,10280,2.0,2018-07,6850.0,2018-07-01,7,3,2018,2018-06-01,6923.0,76.0,69.0
168,10280,3.0,2018-07,12700.0,2018-07-01,7,3,2018,2018-06-01,12700.0,28.0,28.0
169,10282,0.0,2018-07,3160.0,2018-07-01,7,3,2018,2018-06-01,3090.0,34.0,33.0
170,10282,1.0,2018-07,3943.0,2018-07-01,7,3,2018,2018-06-01,3650.0,96.0,90.0
171,10282,2.0,2018-07,6850.0,2018-07-01,7,3,2018,2018-06-01,6923.0,76.0,69.0
172,10282,3.0,2018-07,12700.0,2018-07-01,7,3,2018,2018-06-01,12700.0,28.0,28.0
173,10451,1.0,2018-07,1637.5,2018-07-01,7,3,2018,2018-06-01,1675.0,4.5,12.0
174,10451,2.0,2018-07,1950.0,2018-07-01,7,3,2018,2018-06-01,1900.0,8.5,7.5
175,10452,1.0,2018-07,1637.5,2018-07-01,7,3,2018,2018-06-01,1675.0,7.5,8.0
176,10452,2.0,2018-07,1950.0,2018-07-01,7,3,2018,2018-06-01,1900.0,11.5,10.0
177,10454,1.0,2018-07,1850.0,2018-07-01,7,3,2018,2018-06-01,1788.0,18.0,16.0
